Дата,Score,Уровень,Lead Score,Продажи и Клиентский сервис,Рутинные процессы,Данные и База знаний,Операционка и Прогнозы,Культура и Готовность команды,Сильная зона,Слабые зоны,Сфера,Размер команды,Модель продаж,Стадия,Landing Path,Device,Language,Ответы (JSON),Обратная связь (JSON),ID
"19.06.2026, 16:31:34",40,point_potential,15,40,100,40,20,36.0,automation,"predictive_ops, culture_ready, sales_support",operations,1-2,b2c,stable,/quiz,mobile,ru,"{""q1"":7,""q2"":0,""q3"":4,""q4"":10,""q5"":4,""q6"":4,""q7"":0,""q8"":4,""q9"":4,""q10"":7,""q11"":0}",,sub_1781868587180_edr9ikvtf
"19.06.2026, 16:31:52",86,ai_leader,40,70,100,100,70,94.0,data_knowledge,"sales_support, predictive_ops, culture_ready",operations,31-100,mixed,scaling,/quiz,mobile,ru,"{""q1"":7,""q2"":10,""q3"":4,""q4"":10,""q5"":10,""q6"":10,""q7"":4,""q8"":10,""q9"":10,""q10"":10,""q11"":10}",,sub_1781868585492_txxjr162g
"19.06.2026, 16:32:06",68,transformation,25,20,100,70,100,68.0,predictive_ops,"sales_support, culture_ready, data_knowledge",operations,3-10,b2b,early,/quiz,mobile,ru,"{""q1"":10,""q2"":10,""q3"":0,""q4"":10,""q5"":7,""q6"":0,""q7"":10,""q8"":4,""q9"":10,""q10"":7,""q11"":7}",,sub_1781868585085_6o9pqtwnw
"19.06.2026, 16:32:29",77,ai_leader,40,40,100,100,85,80.0,data_knowledge,"sales_support, culture_ready, predictive_ops",operations,11-30,b2b,systemize,/quiz,mobile,ru,"{""q1"":10,""q2"":10,""q3"":4,""q4"":10,""q5"":10,""q6"":10,""q7"":7,""q8"":4,""q9"":10,""q10"":0,""q11"":10}",,sub_1781868587555_14apinzgh
"19.06.2026, 16:32:33",57,transformation,45,50,70,40,55,62.0,automation,"data_knowledge, sales_support, predictive_ops",other,11-30,mixed,stable,/quiz,mobile,ru,"{""q1"":4,""q2"":7,""q3"":0,""q4"":7,""q5"":4,""q6"":10,""q7"":7,""q8"":10,""q9"":4,""q10"":0,""q11"":10}",,sub_1781868587938_00dqs8dxj
"19.06.2026, 16:32:43",69,transformation,35,35,70,70,70,82.0,culture_ready,"sales_support, automation, data_knowledge",b2b_services,1-2,b2b,systemize,/quiz,mobile,ru,"{""q1"":10,""q2"":10,""q3"":0,""q4"":7,""q5"":7,""q6"":4,""q7"":7,""q8"":7,""q9"":7,""q10"":7,""q11"":10}",,sub_1781868584952_qj364nehj
"19.06.2026, 16:35:08",75,ai_leader,25,70,100,70,85,70.0,automation,"sales_support, data_knowledge, culture_ready",operations,1-2,mixed,early,/quiz,mobile,ru,"{""q1"":10,""q2"":4,""q3"":4,""q4"":10,""q5"":7,""q6"":4,""q7"":7,""q8"":10,""q9"":10,""q10"":7,""q11"":10}",,sub_1781868608455_fv5dwg8xd
"19.06.2026, 16:35:15",47,point_potential,45,50,40,0,35,62.0,culture_ready,"data_knowledge, predictive_ops, automation",operations,3-10,mixed,systemize,/quiz,mobile,ru-RU,"{""q1"":10,""q2"":4,""q3"":0,""q4"":4,""q5"":0,""q6"":7,""q7"":0,""q8"":10,""q9"":7,""q10"":0,""q11"":10}",,sub_1781868894919_hb3epbzi8
"19.06.2026, 16:35:57",71,transformation,35,50,0,100,85,82.0,data_knowledge,"automation, sales_support, culture_ready",other,1-2,partners,scaling,/quiz,mobile,ru,"{""q1"":10,""q2"":7,""q3"":0,""q4"":0,""q5"":10,""q6"":7,""q7"":7,""q8"":10,""q9"":10,""q10"":10,""q11"":7}",,sub_1781868586788_itu9quu6o
"19.06.2026, 16:37:40",62,transformation,55,50,100,70,85,48.0,automation,"culture_ready, sales_support, data_knowledge",operations,11-30,b2b,scaling,/quiz,mobile,ru-RU,"{""q1"":7,""q2"":7,""q3"":0,""q4"":10,""q5"":7,""q6"":0,""q7"":7,""q8"":10,""q9"":10,""q10"":0,""q11"":10}",,sub_1781868599175_gpf0bhtla
